dimension,method,y_label,target_gene,gRNA_simplified,effect_label,effect
2,euclidean,target_gene,SRPRA,sgRNA--SRPRA-3,0,no effect
2,euclidean,target_gene,TIMM23,sgRNA--TIMM23-2,1,effect
2,euclidean,target_gene,ATP5F1B,sgRNA--ATP5F1B-6,0,no effect
2,euclidean,target_gene,SEC61G,sgRNA--SEC61G-3,1,effect
2,euclidean,target_gene,SRP68,sgRNA--SRP68-3,0,no effect
2,euclidean,target_gene,Control,Non-Targeting,0,no effect
2,euclidean,target_gene,CDKN1B,sgRNA--CDKN1B-2,0,no effect
2,euclidean,target_gene,UFM1,sgRNA--UFM1-1,0,no effect
2,euclidean,target_gene,SEC61A1,sgRNA--SEC61A1-1,1,effect
2,euclidean,target_gene,QARS,sgRNA--QARS-2,1,effect
2,euclidean,target_gene,TTI2,sgRNA--TTI2-3,0,no effect
2,euclidean,target_gene,SEC61A1,sgRNA--SEC61A1-3,1,effect
2,euclidean,target_gene,CDKN2A,sgRNA--CDKN2A-3,0,no effect
2,euclidean,target_gene,TMEM167A,sgRNA--TMEM167A-0,0,no effect
2,euclidean,target_gene,QARS,sgRNA--QARS-1,1,effect
2,euclidean,target_gene,CDKN2B,sgRNA--CDKN2B-4,0,no effect
2,euclidean,target_gene,SRPRB,sgRNA--SRPRB-4,0,no effect
2,euclidean,target_gene,DDRGK1,sgRNA--DDRGK1-0,0,no effect
2,euclidean,target_gene,SRPRA,sgRNA--SRPRA-1,0,no effect
2,euclidean,target_gene,EIF2B2,sgRNA--EIF2B2-1,1,effect
2,euclidean,target_gene,CARS,sgRNA--CARS-2,0,no effect
2,euclidean,target_gene,ATP5F1B,sgRNA--ATP5F1B-1,0,no effect
2,euclidean,target_gene,GSH-PPP1R12C,sgRNA--GSH-PPP1R12C-5,0,no effect
2,euclidean,target_gene,TMED10,sgRNA--TMED10-1,1,effect
2,euclidean,target_gene,TMED10,sgRNA--TMED10-3,1,effect
2,euclidean,target_gene,CARS,sgRNA--CARS-3,0,no effect
2,euclidean,target_gene,DDRGK1,sgRNA--DDRGK1-2,0,no effect
2,euclidean,target_gene,SRP68,sgRNA--SRP68-1,0,no effect
2,euclidean,target_gene,TELO2,sgRNA--TELO2-1,0,no effect
2,euclidean,target_gene,CDKN2A,sgRNA--CDKN2A-2,0,no effect
2,euclidean,target_gene,SCYL1,sgRNA--SCYL1-1,0,no effect
2,euclidean,target_gene,SRPRA,sgRNA--SRPRA-2,0,no effect
